index;x;y;z
660;-0.099731;-0.011581;0.022964
661;0.083923;0.010895;-0.043411
662;0.109283;0.059143;-0.041229
663;-0.005920;0.043198;-0.067780
664;0.024490;-0.029190;-0.059708
665;0.046173;-0.143707;-0.029144
666;-0.038376;-0.173477;0.009888
667;-0.114609;-0.196518;0.016876
668;-0.245636;-0.197235;0.060394
669;-0.072861;-0.554932;-0.152603
670;-0.753723;-1.254898;0.253723
671;-1.607208;-2.179337;0.183853
672;-2.527115;-3.454803;0.222458
673;-2.513702;-3.835434;0.630005
674;-2.389221;-4.125900;0.413025
675;-1.861343;-3.041656;0.427963
676;-1.243881;-1.899078;0.182541
677;-0.458511;-1.306931;0.034866
678;-0.420746;-0.783264;-0.106033
679;-0.109253;-0.277237;-0.090546
680;0.237457;0.000931;-0.124069
681;0.183899;0.063141;0.005447
682;0.045456;-0.093979;0.257126
683;0.007004;-0.030685;0.383957
684;0.056030;0.031036;0.225433
685;-0.168228;-0.007843;0.256760
686;0.116547;0.118240;0.529892
687;0.023544;0.156631;0.313339
688;0.192657;0.183807;0.177917
689;0.095062;-0.021072;0.302765
690;-0.021240;-0.137589;0.462738
691;-0.000076;-0.098297;0.476044
692;-0.210052;-0.007431;-0.093094
693;-0.332535;-0.052429;-0.994522
694;-0.272110;-0.182510;-0.985352
695;-0.364517;-0.309052;-1.295990
696;-0.702866;-0.650330;-2.451553
697;-0.845459;-0.519440;-3.170090
698;-0.761368;-0.731689;-2.836761
699;-0.676727;-1.019135;-2.455826
700;-0.468414;-0.964233;-2.522751
701;-0.215942;-0.955750;-2.102844
702;-0.089844;-0.772766;-1.564743
703;-0.047073;-0.394379;-1.291931
704;-0.220139;-0.232071;-0.800262
705;-0.144653;-0.123001;-0.690552
706;-0.030991;-0.022797;-0.400711
707;-0.068436;-0.047241;-0.281921
708;0.012024;0.061813;-0.395401
709;0.053635;0.021454;-0.309036
710;0.079544;-0.002701;-0.176666
711;0.065613;-0.053436;-0.177383
712;-0.012039;-0.091476;-0.272842
713;-0.038269;-0.088364;-0.182449
714;-0.091019;-0.093491;-0.115158
715;-0.015076;-0.052505;-0.359055
716;-0.083740;-0.171555;-0.260696
