index;x;y;z
476;-1.156799;-5.294250;-0.475052
477;-0.622345;-5.111786;-0.002914
478;-0.830521;-4.335251;0.387131
479;-0.862030;-2.759827;0.203949
480;-0.052429;-1.638321;-0.050430
481;0.341583;-0.885925;-0.072586
482;0.239090;-0.357758;-0.153366
483;0.044144;0.037506;-0.114975
484;-0.019760;0.342819;-0.087616
485;-0.000305;0.401291;-0.038391
486;-0.130142;0.167953;0.022186
487;-0.077087;0.021011;0.091278
488;-0.001068;-0.052383;0.157867
489;-0.014816;0.056320;0.006256
490;0.038757;0.062866;-0.037567
491;0.028000;0.069870;-0.020660
492;0.035187;0.086182;-0.012314
493;-0.026703;0.021469;-0.003281
494;-0.013000;-0.001068;0.052582
495;-0.026947;0.078720;0.060593
496;-0.095245;0.034927;0.074966
497;-0.021393;0.013840;-0.033142
498;-0.010605;0.012817;0.094086
499;-0.060226;-0.007065;0.014420
500;0.027481;-0.011169;-0.020203
501;0.012634;-0.024475;-0.029312
502;-0.000534;-0.099762;0.033524
503;0.057068;-0.102371;-0.129349
504;0.089111;-0.074463;-0.008301
505;-0.022247;-0.115601;-0.010620
506;0.024475;-0.166321;-0.165894
507;-0.037338;-0.186188;-0.172134
508;-0.044693;-0.275543;-0.043976
509;0.156540;-0.350891;0.228043
510;0.362381;-0.515320;0.011063
511;0.596283;-1.426178;0.055313
512;0.606140;-3.169388;-0.939255
513;-0.182236;-6.307678;0.424942
514;0.057449;-7.449265;1.094391
515;-0.182358;-7.143997;0.662140
516;-0.069138;-4.957306;0.407990
517;0.216339;-3.770737;0.494659
518;0.299820;-2.800156;0.474625
519;-0.215225;-1.537079;0.182312
520;-0.079666;-0.451279;0.064896
521;0.031342;0.391678;0.161896
522;0.103119;0.572067;-0.082367
523;0.122650;0.312622;-0.169998
524;-0.189926;-0.080704;0.286835
525;-0.315063;-0.412750;0.003311
526;0.043182;-0.235596;-0.171463
527;0.185043;0.042130;-0.095291
528;0.154129;0.001633;0.009842
529;0.084732;-0.106979;-0.201035
530;-0.004227;-0.227112;-0.256851
531;-0.201569;-0.409409;-0.064987
532;-0.448517;-0.601318;0.473984
533;-0.285934;-0.144897;0.056610
534;0.058289;0.253235;-0.010986
535;0.178375;0.476990;0.207550
536;0.378082;0.144791;0.188965
537;0.433792;-0.516449;-0.328796
538;0.011612;-1.221375;-0.096542
539;-0.090240;-1.275375;0.206482
540;-0.178101;-0.978287;0.174927
541;-0.161758;-0.695236;-0.025101
542;-0.203369;-0.331528;0.107559
543;-0.173035;-0.213974;0.138123
544;-0.086975;-0.127014;0.037949
545;-0.087448;-0.031601;0.060837
546;0.029587;0.039551;-0.014816
547;0.020813;-0.188828;-0.021851
548;-0.111145;-0.366241;-0.208603
549;-0.154739;-0.519775;-0.452240
550;-0.091431;-0.669159;-0.362991
551;-0.083160;-0.725662;-0.290665
552;0.646286;-1.377914;-0.225204
553;0.581741;-2.578857;-0.697998
554;-0.245117;-3.580063;-0.352158
555;-0.334778;-3.364090;0.097610
556;0.214935;-3.664612;-0.374527
557;0.149368;-3.901215;-0.392151
558;0.094391;-3.142899;-0.098785
559;0.164795;-2.461487;-0.154404
560;0.151749;-1.824783;-0.270508
561;-0.027298;-1.269424;-0.172791
562;-0.156738;-0.791016;-0.100372
563;-0.152588;-0.335129;-0.077545
564;-0.011368;-0.026596;-0.060913
565;0.075012;0.120163;-0.110535
566;0.110641;0.119537;-0.180786
567;0.068329;0.037170;-0.107513
568;0.022354;-0.061264;-0.011200
569;0.013489;-0.133972;0.067047
570;0.005402;-0.077072;0.062332
571;0.065231;-0.036163;0.014252
572;0.017441;-0.074493;0.052383
573;-0.048080;-0.027267;0.060944
574;0.061142;-0.044830;-0.054520
575;-0.038330;-0.094177;-0.028275
576;-0.062347;-0.176147;-0.005173
577;0.068527;-0.380951;-0.201370
578;0.039352;-0.700760;-0.600906
579;-0.548676;-1.330841;-1.279037
580;-1.328857;-2.107895;-0.184433
581;-0.374420;-2.512543;0.623123
582;-0.615234;-2.087158;0.014130
583;-0.360703;-2.499359;-0.299606
584;-0.511627;-2.490540;-0.401062
585;-0.625977;-2.338257;-0.394684
586;-0.627518;-2.078506;-0.261749
587;-0.546982;-1.765076;-0.303284
588;-0.408081;-1.446945;-0.404419
589;-0.364349;-1.193512;-0.401627
590;-0.332031;-0.955750;-0.333374
591;-0.252792;-0.719131;-0.075012
592;-0.175888;-0.528809;-0.042068
593;0.036667;-0.252365;-0.185944
594;0.031723;-0.189194;0.006516
595;-0.048203;-0.111099;-0.001755
596;0.055847;-0.109268;-0.018951
597;0.016113;-0.048447;0.102921
598;0.011917;-0.073578;0.022858
599;-0.008408;-0.025497;-0.008316
600;-0.024643;-0.126938;0.068024
601;-0.041016;-0.132736;-0.070480
602;-0.041016;-0.252991;-0.069260
603;0.008926;-0.591431;-0.073303
604;-0.069092;-0.939194;-0.045654
605;-0.125977;-1.230225;-0.073059
606;-0.145370;-1.532059;-0.046249
607;-0.156921;-1.930984;-0.029114
608;-0.332123;-2.364227;0.096283
609;-0.313675;-2.394836;0.125183
610;-0.169327;-2.407349;0.055130
611;-0.255112;-2.204697;0.065735
612;-0.223404;-1.871918;0.047394
613;-0.206482;-1.570190;-0.051041
614;-0.152512;-1.301208;-0.022247
615;-0.137939;-1.038040;0.022995
616;-0.127289;-0.787445;0.044632
617;-0.080078;-0.572342;0.043488
618;-0.019409;-0.371780;0.007339
619;0.030807;-0.245712;-0.037552
620;0.063995;-0.173660;-0.031799
621;0.042831;-0.174088;-0.027298
622;0.033829;-0.198257;-0.023514
623;0.042984;-0.296158;-0.045242
624;0.027206;-0.313705;-0.162964
625;0.007492;-0.381027;-0.018738
626;0.004883;-0.571823;-0.079987
627;0.043213;-0.745850;-0.027771
628;0.038803;-0.975372;-0.026428
629;-0.097488;-1.172958;-0.025986
630;-0.050690;-1.311234;0.031906
631;-0.053024;-1.488815;0.024643
632;-0.046814;-1.653671;0.021713
633;-0.043900;-1.772049;0.077820
634;-0.025604;-1.773254;0.080734
635;0.021652;-1.693069;0.059952
636;-0.039185;-1.533203;0.040070
637;-0.051254;-1.394073;0.113556
638;-0.032364;-1.279129;0.004395
639;0.000229;-1.150879;0.026047
640;0.024872;-1.025192;-0.033783
641;0.036942;-0.916443;-0.034180
642;0.023682;-0.813553;-0.011734
643;0.015213;-0.722229;-0.009003
644;0.056824;-0.633621;0.008209
645;0.019287;-0.527161;-0.041977
646;-0.069016;-0.536636;-0.049789
647;-0.045578;-0.527908;-0.063889
648;-0.008530;-0.534088;-0.049393
649;0.028946;-0.565216;-0.048645
650;0.021194;-0.668472;-0.001373
651;0.033768;-0.788116;-0.107117
652;0.028000;-0.943954;-0.143112
653;0.006927;-1.059586;-0.127518
654;-0.011612;-1.192413;-0.052948
655;-0.013245;-1.292847;-0.035385
656;-0.009094;-1.419357;-0.033615
657;0.010742;-1.506104;-0.038818
658;-0.000412;-1.461639;-0.040283
659;-0.033905;-1.415619;-0.092117
660;-0.011597;-1.360550;-0.089493
661;-0.070587;-1.249329;-0.065521
662;-0.065704;-1.134491;-0.017670
663;-0.004013;-0.983368;-0.052994
664;-0.007767;-0.906784;-0.101349
665;0.014130;-0.853531;-0.125397
666;-0.015381;-0.809952;-0.101517
667;-0.001541;-0.789307;-0.093384
668;0.036514;-0.789780;-0.059250
669;0.028122;-0.771561;-0.098038
670;0.028732;-0.960922;-0.073441
671;-0.028046;-1.301941;-0.119202
672;-0.142395;-1.458542;0.014313
673;-0.060562;-1.320831;0.018188
674;0.021317;-1.360535;0.044662
675;0.060028;-0.936493;-0.174042
676;0.153168;-0.348816;-0.222336
677;0.163376;-0.290573;-0.321609
678;0.225571;-0.186859;-0.125183
679;0.265152;-0.141647;-0.328476
680;0.225616;-0.454987;-0.331635
681;0.115173;-0.568069;-0.437714
682;-0.602737;-1.440308;-0.879425
683;0.615402;-0.580704;-0.925156
684;0.089691;-0.750870;-0.497498
685;0.132843;-0.743423;-1.298599
686;0.112167;-0.468445;-1.232605
687;0.177231;-0.745468;-1.025726
688;0.172836;-0.738846;-0.807770
689;0.030136;-0.607895;-0.848785
690;0.009628;-0.566406;-0.851883
691;-0.003540;-0.554169;-0.741241
692;0.100311;-0.540085;-0.811600
693;-0.053574;-0.398041;-0.997543
694;-0.112305;-0.395065;-0.727142
695;-0.073044;-0.474503;-0.743683
696;-0.066650;-0.484131;-0.837036
697;-0.004181;-0.554626;-0.759949
698;-0.008881;-0.565002;-0.893280
699;0.062454;-0.573273;-0.924606
700;0.052689;-0.501129;-1.024521
701;0.052307;-0.526566;-0.954895
702;0.008224;-0.506699;-0.759567
703;-0.039459;-0.496338;-0.749512
704;-0.012390;-0.561859;-0.746475
705;0.000641;-0.581207;-0.819550
706;0.000946;-0.564423;-0.846054
707;0.057617;-0.564270;-0.871780
708;0.024841;-0.519836;-0.994415
709;0.000153;-0.544571;-0.998413
710;0.002060;-0.550690;-0.756302
711;0.068314;-0.552216;-0.905182
712;0.004562;-0.568115;-0.769577
